Artist,Title,Year
Len,Steal My Sunshine,1999
Wu-Tang Clan,Triumph,1997
Ani DiFranco,Both Hands,1990
Fugazi,Smallpox Champion,1993
Wilson Phillips,Hold On,1990
Refused,New Noise,1998
Deborah Cox,Nobody’s Supposed to Be Here,1998
Dismemberment Plan,You Are Invited,1999
Naughty by Nature,Feel Me Flow,1995
Robyn,Show Me Love,1995
Pearl Jam,Corduroy,1994
JAY-Z,Dead Presidents II,1996
Blur,Song 2,1997
Gin Blossoms,Hey Jealousy,1992
Broadcast,Echo’s Answer,1999
Tracy Chapman,Give Me One Reason,1995
Korn,Freak on a Leash,1999
Cypress Hill,How I Could Just Kill a Man,1991
Brian Eno / John Cale,Lay My Love,1990
Celine Dion,It’s All Coming Back to Me Now,1996
Cornershop,Brimful of Asha,1997
Boyz II Men,Motownphilly,1991
Soundgarden,Black Hole Sun,1994
Goodie Mob,Cell Therapy,1995
Alice in Chains,Would?,1992
Jawbox,Savory,1994
Luniz,I Got 5 on It,1995
The La’s,There She Goes,1990
RuPaul,Supermodel (You Better Work),1992
Veruca Salt,Seether,1994
Blur,Girls &amp; Boys,1994
Elvis Crespo,Suavemente,1999
Third Eye Blind,Semi-Charmed Life,1997
Shanice,I Love Your Smile,1991
Blink-182,Dammit,1997
Blackstreet,No Diggity,1996
Garbage,Stupid Girl,1995
Lil’ Kim,Big Momma Thang,1996
4 Non Blondes,What’s Up?,1992
Whitney Houston,I’m Every Woman,1992
Temple of the Dog,Hunger Strike,1991
The KLF,3 a.m. Eternal (Live at the S.S.L.),1991
Belly,Feed the Tree,1993
Teenage Fanclub,The Concept,1991
Mark Morrison,Return of the Mack,1996
New Radicals,You Get What You Give,1998
Da Brat,Funkdafied,1994
Cat Power,Cross Bones Style,1998
Mos Def,Ms. Fat Booty,1999
Hole,Doll Parts,1994
Maxwell,Ascension (Don’t Ever Wonder),1996
Helium,Pat’s Trick,1995
Acen,Trip II the Moon (Pt. 1 and 2),1992
L7,Pretend We’re Dead,1992
Fiona Apple,Sleep to Dream,1996
Björk,Venus as a Boy,1993
The Sundays,Here’s Where the Story Ends,1990
Aimee Mann,Save Me,1999
Tony! Toni! Toné!,Feels Good,1990
My Bloody Valentine,When You Sleep,1991
Gang Starr,Mass Appeal,1993
Groove Theory,Tell Me,1995
Cocteau Twins,Cherry-Coloured Funk,1990
Double 99,Ripgroove,1997
Ghostface Killah,Daytona 500,1996
SWV,Right Here (Human Nature Remix),1992
Wilco,Via Chicago,1999
Yo-Yo,You Can't Play With My Yo-Yo,1991
Spice Girls,Wannabe,1996
Dr. Octagon,Blue Flowers,1996
Usher,You Make Me Wanna…,1997
Metallica,Enter Sandman,1991
Raekwon,Ice Cream,1995
Garth Brooks,Friends in Low Places,1990
The Prodigy,Firestarter,1997
Galaxie 500,Fourth of July,1990
Noreaga,Superthug,1998
Elliott Smith,Waltz #2 (XO),1998
En Vogue,My Lovin’ (You’re Never Gonna Get It),1992
Slowdive,Alison,1993
Puff Daddy,All About the Benjamins,1997
Ace of Base,The Sign,1993
Beenie Man,Who Am I,1998
Oasis,Don’t Look Back in Anger,1995
De La Soul,Stakes Is High,1996
Galaxy 2 Galaxy,Jupiter Jazz,1993
Smashing Pumpkins,Mayonaise,1993
Big Pun,Still Not a Player,1998
R.E.M.,Losing My Religion,1991
Kelis,Caught Out There,1999
Yo La Tengo,Autumn Sweater,1997
Public Enemy,Welcome to the Terrordome,1990
No Doubt,Just a Girl,1995
The Cure,Friday I’m in Love,1992
De La Soul,A Rollerskating Jam Named ‘Saturdays’,1991
The Verve,Bitter Sweet Symphony,1997
UGK,One Day,1996
En Vogue,Free Your Mind,1992
Superchunk,Slack Motherfucker,1990
Origin Unknown,Valley of the Shadows,1993
Three 6 Mafia,Tear Da Club Up,1997
Elastica,Connection,1994
Eminem,My Name Is...,1999
Neil Young,Harvest Moon,1992
Janet Jackson,That’s the Way Love Goes,1993
The Notorious B.I.G.,Hypnotize,1997
Sheryl Crow,If It Makes You Happy,1996
Elliott Smith,Say Yes,1997
Beltram,Energy Flash,1990
Ice Cube,It Was a Good Day,1992
Nirvana,All Apologies,1993
Souls of Mischief,93 'Til Infinity,1993
Soho,Hot Music,1990
OutKast,Elevators (Me &amp; You),1996
Pavement,Summer Babe,1992
Craig Mack,Flava in Ya Ear (Remix),1994
k.d. lang,Constant Craving,1992
The Roots,You Got Me,1999
Sonic Youth,Tunic (Song for Karen),1990
Fugees,Ready or Not,1996
Jeff Mills,The Bells,1997
Green Day,Basket Case,1994
MF DOOM,Rhymes Like Dimes,1999
Shania Twain,Man! I Feel Like a Woman!,1997
Pac,Keep Ya Head Up,1993
Goldie,Inner City Life,1994
Silver Jews,Wild Kindness,1998
Bell Biv DeVoe,Poison,1990
Method Man,I’ll Be There for You/You’re All I Need to Get By,1995
Radiohead,Let Down,1997
DJ Shadow,Midnight in a Perfect World,1996
Salt-N-Pepa,Shoop,1993
Rage Against the Machine,Killing in the Name,1992
Dawn Penn,"You Don’t Love Me (No, No, No)",1994
The Pharcyde,Passin’ Me By,1992
Madonna,Vogue,1990
Bonnie “Prince” Billy,Prince,1998
R.E.M.,Nightswimming,1992
Ol’ Dirty Bastard,Got Your Money,1999
Isolée,Beau Mot Plage,1998
Janet Jackson,Together Again,1997
Belle and Sebastian,The State I Am In,1996
Crystal Waters,Gypsy Woman (She’s Homeless),1991
Fugees,Killing Me Softly,1996
Depeche Mode,Enjoy the Silence,1990
The Aztec Mystic,Knights of the Jaguar,1999
Adina Howard,Freak Like Me,1995
Weezer,Say It Ain’t So,1994
Master P,Make ’Em Say Uhh!,1998
Smashing Pumpkins,1979,1995
The Orb,Little Fluffy Clouds,1990
Selena,Bidi Bidi Bom Bom,1994
The Notorious B.I.G.,Mo Money Mo Problems,1997
Beck,Loser,1991
Toni Braxton,You’re Makin’ Me High,1996
Queen Latifah,U.N.I.T.Y.,1993
Guided by Voices,Game of Pricks,1995
Björk,Human Behaviour,1993
Chaka Demus / Pliers,Murder She Wrote,1992
Busta Rhymes,Put Your Hands Where My Eyes Could See,1997
Sonic Youth,Kool Thing,1990
Camp Lo,Luchini AKA This Is It,1997
Massive Attack,Unfinished Sympathy,1991
CeCe Peniston,Finally,1991
Sleater-Kinney,One More Hour,1997
OutKast,Rosa Parks,1998
Erykah Badu,Tyrone (Live),1997
Innerzone Orchestra,Bug in the Bass Bin,1996
Radiohead,Karma Police,1997
The Chicks,Wide Open Spaces,1998
Pépé Bradock,Deep Burnt,1999
Dr. Dre,Still D.R.E.,1999
My Bloody Valentine,Only Shallow,1991
A Tribe Called Quest,Check the Rhime,1991
PJ Harvey,Rid of Me,1993
Annie Lennox,Walking on Broken Glass,1992
Ghost Town DJ’s,My Boo (Hitman’s Club Mix),1996
Bone Thugs-N-Harmony,Tha Crossroads,1996
Natalie Imbruglia,Torn,1997
Pete Rock / C.L. Smooth,They Reminisce Over You (T.R.O.Y.),1992
Everything But the Girl,Missing (Todd Terry Remix),1995
Foo Fighters,Everlong,1997
Hole,Violet,1994
Robin S.,Show Me Love,1993
DMX,Ruff Ryders’ Anthem,1998
Elliott Smith,Between the Bars,1997
The Cardigans,Lovefool,1996
Arthur Russell,This Is How We Walk on the Moon,1994
Warren G / Nate Dogg,Regulate,1994
Built to Spill,Carry the Zero,1999
Moodymann,Shades of Jae,1999
Whitney Houston,I Will Always Love You,1992
A Tribe Called Quest,Scenario,1991
Daniel Johnston,Some Things Last a Long Time,1990
Erykah Badu,On &amp; On,1997
Madonna,Ray of Light,1998
TLC,Creep,1994
Frankie Knuckles,The Whistle Song,1991
Juvenile,Back That Azz Up,1999
Le Tigre,Deceptacon,1999
Janet Jackson,If,1993
Mariah Carey,Always Be My Baby,1995
Digable Planets,Rebirth of Slick (Cool Like Dat),1992
Deee-Lite,Groove Is in the Heart,1990
Orbital,Halcyon + On + On,1993
Pac,California Love,1996
D’Angelo,Brown Sugar,1995
The Cranberries,Dreams,1992
Sade,No Ordinary Love,1992
Geto Boys,Mind Playing Tricks on Me,1991
Pavement,Gold Soundz,1994
Mary J. Blige,Real Love,1992
Fiona Apple,Paper Bag,1999
Stardust,Music Sounds Better With You,1998
Aaliyah,One in a Million,1996
Lauryn Hill,Ex-Factor,1998
OutKast,SpottieOttieDopaliscious,1998
Alanis Morissette,You Oughta Know,1995
TLC,No Scrubs,1999
Nine Inch Nails,Closer,1994
Brandy / Monica,The Boy Is Mine,1998
Massive Attack,Teardrop,1998
Britney Spears,...Baby One More Time,1998
Dr. Dre,Nuthin’ But a ‘G’ Thang,1992
Ginuwine,Pony,1996
A Tribe Called Quest,Can I Kick It?,1990
Radiohead,Paranoid Android,1997
Cher,Believe,1998
The Breeders,Cannonball,1993
Beastie Boys,Sabotage,1994
Underworld,Born Slippy (Nuxx),1996
Sinéad O’Connor,Nothing Compares 2 U,1990
Pulp,Common People,1995
Portishead,Sour Times,1994
George Michael,Freedom! ’90,1990
Mobb Deep,"Shook Ones, Pt. II",1995
Fiona Apple,Criminal,1996
Mazzy Star,Fade Into You,1993
Lauryn Hill,Doo Wop (That Thing),1998
Daft Punk,Around the World,1997
Bikini Kill,Rebel Girl,1992
The Notorious B.I.G.,Juicy,1994
Destiny’s Child,Say My Name,1999
Aphex Twin,Windowlicker,1997
Nirvana,Smells Like Teen Spirit,1991
Missy Elliott,The Rain (Supa Dupa Fly),1997
Liz Phair,Fuck and Run,1993
Aaliyah,Are You That Somebody?,1998
Björk,Hyperballad,1995
Mariah Carey,Fantasy (Remix),1995
